Combination	AUC
GWAS&H3K4me3&H3K36me3&epidermal&placode	0.928045564
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.927984968
GWAS&H3K27ac&H3K4me1&H3K4me2	0.927860299
GWAS&H3K4me2&H3K4me3&H3K36me3&placode&neural_crest	0.927855507
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3	0.92766417
GWAS&H3K27me3&epidermal	0.927581945
GWAS&H3K27me3&H3K4me2&H3K36me3&epidermal&placode&neural_crest	0.927516406
GWAS&H3K4me2&H3K4me3&non_neuroectoderm&placode&neural_crest	0.927488116
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&H3K36me3	0.927184811
GWAS&H3K27ac&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&placode&neural_crest	0.92697237
GWAS&H3K27me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.926912046
GWAS&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.926901271
GWAS&H3K27ac&H3K4me2&H3K4me3&non_neuroectoderm	0.926774256
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3	0.926564145
GWAS&H3K4me1&H3K36me3&non_neuroectoderm&placode&neural_crest	0.926449967
GWAS&H3K27ac&H3K4me2&H3K36me3&epidermal&placode&neural_crest	0.926321919
GWAS&H3K27me3&H3K4me2&H3K4me3&neural_crest	0.926091769
GWAS&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.926013162
GWAS&H3K27ac&H3K36me3&epidermal&placode&neural_crest	0.925839235
GWAS&H3K4me2&H3K4me3&H3K36me3&neural_crest	0.925743479
GWAS&H3K4me2&H3K4me3&epidermal	0.925494305
GWAS&H3K27ac&H3K36me3&epidermal&placode	0.925249011
GWAS&H3K27ac&H3K4me2&H3K4me3&epidermal&placode&neural_crest	0.925231453
GWAS&H3K27ac&non_neuroectoderm&epidermal&placode&neural_crest	0.925068912
GWAS&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.924690319
GWAS&H3K27me3&H3K4me2&H3K4me3&H3K36me3&neural_crest	0.924536658
GWAS&H3K36me3&placode&neural_crest	0.924527881
GWAS&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.924519546
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&non_neuroectoderm&neural_crest	0.924495845
GWAS&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.924009845
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.924008577
GWAS&H3K36me3&epidermal&placode&neural_crest	0.923942464
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.923924602
GWAS&H3K4me1&H3K4me3&placode&neural_crest	0.923885651
GWAS&H3K27ac&H3K36me3&neural_crest	0.923854878
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&placode&neural_crest	0.923836155
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.923797988
GWAS&H3K27ac&H3K27me3&H3K4me1	0.923782802
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal	0.92377574
GWAS&H3K27me3&epidermal&placode&neural_crest	0.923715067
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.92368018
GWAS&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.923534928
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K36me3&epidermal&placode&neural_crest	0.923273241
GWAS&H3K27ac&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.923165388
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&epidermal	0.923082026
GWAS&H3K4me2&H3K4me3&neural_crest	0.923079771
GWAS&H3K27ac&H3K4me3&epidermal&placode	0.923019049
GWAS&H3K27ac&H3K4me1&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.922880457
GWAS&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&placode&neural_crest	0.922796557
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.92276329
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.922731705
GWAS&H3K27ac&H3K4me2&epidermal&placode	0.922447462
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&epidermal	0.922177487
GWAS&H3K27ac&H3K27me3&H3K4me2	0.922038534
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&epidermal&neural_crest	0.922022656
GWAS&H3K4me1&H3K4me3&epidermal&placode&neural_crest	0.921928695
GWAS&H3K27ac&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.921855241
GWAS&H3K27ac&H3K27me3&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode	0.921774722
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&placode&neural_crest	0.921739842
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&placode&neural_crest	0.921668386
GWAS&H3K27ac&H3K4me3&non_neuroectoderm&epidermal&placode&neural_crest	0.921609272
GWAS&H3K27ac&H3K36me3&placode&neural_crest	0.921500662
GWAS&H3K27ac&H3K4me3&non_neuroectoderm	0.921497075
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.921370633
GWAS&H3K27ac&H3K4me1&H3K4me3&placode&neural_crest	0.921323245
GWAS&H3K27me3&H3K4me2&H3K36me3&placode&neural_crest	0.921297684
GWAS&H3K27me3&placode	0.921229712
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal	0.921130177
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm	0.920993795
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&placode&neural_crest	0.920911222
GWAS&H3K27ac&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.920892661
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3	0.920874959
GWAS&H3K27ac&H3K4me2&H3K4me3&H3K36me3&epidermal&placode	0.920849013
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&epidermal	0.920836375
GWAS&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.920815681
GWAS&H3K27ac&H3K27me3&H3K36me3&epidermal	0.92066853
GWAS&H3K27ac&H3K4me1&H3K4me3&H3K36me3	0.920652489
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.920556774
GWAS&H3K27ac&H3K4me3&non_neuroectoderm&neural_crest	0.920546174
GWAS&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.920210335
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3&epidermal	0.919839977
GWAS&H3K27ac&H3K27me3&epidermal	0.919806874
GWAS&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&placode	0.919722773
GWAS&H3K27me3&H3K4me1&H3K4me2&non_neuroectoderm&neural_crest	0.919632145
GWAS&H3K27ac&H3K27me3&H3K36me3&epidermal&neural_crest	0.919441679
GWAS&H3K27me3&H3K4me3&H3K36me3&epidermal&neural_crest	0.919338178
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.919033334
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&non_neuroectoderm&placode&neural_crest	0.919005211
GWAS&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.918936538
GWAS&H3K27ac&H3K4me2&H3K4me3&non_neuroectoderm&placode&neural_crest	0.918931098
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&non_neuroectoderm&neural_crest	0.918902278
GWAS&H3K27ac&H3K4me1&H3K36me3&neural_crest	0.918865873
GWAS&H3K27me3&H3K4me3&epidermal&placode&neural_crest	0.918784255
GWAS&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.918771877
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&epidermal	0.918759754
GWAS&H3K27me3&H3K4me1&H3K4me3&neural_crest	0.918596566
GWAS&H3K27me3&H3K4me2&H3K36me3&neural_crest	0.918543309
GWAS&H3K27me3&H3K4me1&H3K4me3&epidermal&placode	0.918393485
GWAS&H3K4me1&non_neuroectoderm	0.918337378
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.918293495
GWAS&H3K27ac&H3K27me3&H3K4me3&H3K36me3&epidermal&placode&neural_crest	0.918217266
GWAS&H3K27ac&H3K36me3&placode	0.91816246
GWAS&H3K4me2&H3K4me3&placode&neural_crest	0.918065172
GWAS&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode	0.917840082
GWAS&H3K27me3&H3K4me3&non_neuroectoderm&epidermal	0.9178306
GWAS&H3K27ac&H3K4me3&non_neuroectoderm&placode	0.917806588
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&neural_crest	0.917804099
GWAS&H3K27ac&H3K4me2&epidermal&placode&neural_crest	0.917797703
GWAS&H3K27ac&H3K4me2&H3K4me3&epidermal&placode	0.917715711
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K36me3&non_neuroectoderm&neural_crest	0.917451075
GWAS&H3K4me2&H3K4me3&H3K36me3&epidermal	0.917210868
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.917098069
GWAS&H3K27me3&H3K4me3&H3K36me3&neural_crest	0.917077746
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&epidermal&placode	0.916969283
GWAS&H3K27ac&H3K27me3&H3K4me2&non_neuroectoderm	0.91687103
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm	0.916651186
GWAS&H3K4me2&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.916594609
GWAS&H3K27ac&H3K4me3&H3K36me3&epidermal&placode&neural_crest	0.916542174
GWAS&H3K27me3&H3K4me1&H3K4me3&H3K36me3&epidermal&placode	0.916498033
GWAS&H3K27ac&H3K4me2&H3K36me3	0.916461872
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K36me3&epidermal&neural_crest	0.916436109
GWAS&H3K27ac&H3K4me1&H3K4me3&H3K36me3&placode&neural_crest	0.916363164
GWAS&H3K27ac&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.916359062
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K36me3&non_neuroectoderm&epidermal	0.916357727
GWAS&placode	0.916266449
GWAS&H3K36me3&neural_crest	0.916205545
GWAS&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.915968486
GWAS&H3K27me3&H3K4me1&epidermal&placode&neural_crest	0.915904066
GWAS&H3K27ac&H3K4me1&H3K4me3	0.915901341
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3	0.915865826
GWAS&H3K27me3&H3K4me2&H3K4me3&non_neuroectoderm&neural_crest	0.915802507
GWAS&H3K27me3&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.915677377
GWAS&H3K27me3&H3K4me2&H3K4me3&H3K36me3&epidermal&placode	0.915663891
GWAS&H3K4me2&H3K36me3&epidermal&neural_crest	0.91564551
GWAS&H3K27ac&H3K4me1&H3K36me3&placode&neural_crest	0.915487572
GWAS&H3K27ac&H3K27me3&H3K4me2&non_neuroectoderm&epidermal&neural_crest	0.915443795
GWAS&H3K27me3&H3K4me1&H3K4me2&epidermal&placode	0.915432432
GWAS&H3K4me2&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.915396177
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&placode&neural_crest	0.915307479
GWAS&H3K4me2&H3K36me3&non_neuroectoderm&neural_crest	0.915249087
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K36me3&non_neuroectoderm&placode&neural_crest	0.915121957
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K36me3	0.915030248
GWAS&H3K4me2&H3K4me3&H3K36me3&epidermal&placode	0.914782536
GWAS&H3K27me3&H3K4me2&H3K4me3&H3K36me3&epidermal&neural_crest	0.914641447
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&epidermal&neural_crest	0.914602602
GWAS&H3K27ac&H3K4me2&H3K4me3&H3K36me3&epidermal	0.914589606
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.91454822
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&placode	0.914543059
GWAS&H3K27me3&H3K4me2&H3K36me3	0.914534231
GWAS&H3K27ac&H3K4me1&H3K4me3&neural_crest	0.914527453
GWAS&H3K27ac&H3K4me2&H3K4me3&non_neuroectoderm&neural_crest	0.914522711
GWAS&H3K4me2&non_neuroectoderm&epidermal&placode&neural_crest	0.914264481
GWAS&H3K4me1&H3K4me3&non_neuroectoderm&placode&neural_crest	0.914146924
GWAS&H3K27me3&H3K4me2&H3K4me3&epidermal	0.914124594
GWAS&H3K27ac&H3K4me2&non_neuroectoderm	0.91405725
GWAS&H3K4me3&non_neuroectoderm&neural_crest	0.913977663
GWAS&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.913967724
GWAS&H3K4me2&H3K4me3&placode	0.913958597
GWAS&epidermal&placode&neural_crest	0.913826261
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.913823552
GWAS&H3K27ac&H3K27me3&H3K36me3&epidermal&placode	0.913793742
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&non_neuroectoderm&neural_crest	0.913778728
GWAS&H3K27ac&H3K4me3&placode&neural_crest	0.913771711
GWAS&H3K27ac&H3K4me1&H3K4me3&H3K36me3&epidermal&neural_crest	0.913647863
GWAS&H3K4me3&placode&neural_crest	0.913642408
GWAS&H3K27me3&H3K4me2	0.913620266
GWAS&H3K27ac&H3K4me1&H3K4me3&non_neuroectoderm&placode&neural_crest	0.913612612
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal	0.913612165
GWAS&H3K36me3&non_neuroectoderm	0.913611114
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&epidermal&neural_crest	0.913591629
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&epidermal&placode	0.913583339
GWAS&H3K27ac&H3K36me3&non_neuroectoderm&neural_crest	0.913566734
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&H3K36me3&epidermal	0.913445124
GWAS&non_neuroectoderm&neural_crest	0.913421817
GWAS&H3K27ac&H3K4me2&H3K4me3&non_neuroectoderm&placode	0.913382558
GWAS&H3K27ac&H3K4me3&non_neuroectoderm&epidermal&placode	0.913377005
GWAS&H3K4me2&epidermal&placode	0.913335843
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&epidermal&neural_crest	0.913308986
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&placode&neural_crest	0.913290155
GWAS&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.913056206
GWAS&H3K27me3&H3K4me1&H3K4me3&H3K36me3&placode&neural_crest	0.913053944
GWAS&H3K27me3&H3K4me1&H3K4me3&non_neuroectoderm	0.912988116
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&placode	0.912846727
GWAS&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&placode	0.912749643
GWAS&H3K4me1&H3K36me3&placode&neural_crest	0.912600012
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.912578828
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K36me3&non_neuroectoderm&neural_crest	0.912534104
GWAS&H3K27ac&H3K4me1&H3K4me3&H3K36me3&neural_crest	0.912506501
GWAS&H3K4me1&H3K36me3&epidermal&placode&neural_crest	0.912383041
GWAS&H3K27ac&H3K27me3&placode	0.912317872
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&epidermal	0.912295223
GWAS&H3K27ac&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&placode	0.91215669
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3	0.912085278
GWAS&H3K4me1&H3K36me3&non_neuroectoderm	0.911944615
GWAS&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.91190553
GWAS&H3K4me1&H3K4me3&non_neuroectoderm&epidermal	0.9118008
GWAS&H3K4me3&placode	0.911601646
GWAS&H3K27ac&H3K27me3&H3K4me3&epidermal&placode&neural_crest	0.911396065
GWAS&H3K27me3&H3K4me3&non_neuroectoderm&epidermal&placode&neural_crest	0.911364717
GWAS&H3K4me2&epidermal&placode&neural_crest	0.91129874
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&neural_crest	0.911057556
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&H3K36me3&epidermal&neural_crest	0.91098997
GWAS&H3K27ac&H3K27me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.910961438
GWAS&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&neural_crest	0.910915876
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm	0.91077833
GWAS&H3K27me3&H3K4me2&H3K4me3&non_neuroectoderm&epidermal&neural_crest	0.910732927
GWAS&H3K27ac&H3K4me1&H3K4me2&placode&neural_crest	0.91066071
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&non_neuroectoderm	0.910658755
GWAS&H3K4me3&non_neuroectoderm&placode	0.91055687
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K36me3&neural_crest	0.910554395
GWAS&H3K27me3&H3K4me1&H3K4me3&H3K36me3&epidermal&placode&neural_crest	0.910538462
GWAS&H3K27me3&H3K4me2&H3K4me3&epidermal&neural_crest	0.91049073
GWAS&H3K27ac&H3K4me1&H3K36me3&epidermal&placode&neural_crest	0.91045423
GWAS&H3K4me3&H3K36me3&neural_crest	0.910412108
GWAS&H3K27ac&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode	0.910369809
GWAS&H3K27ac&H3K4me2&non_neuroectoderm&placode&neural_crest	0.91033202
GWAS&H3K27ac&H3K27me3&H3K4me3&non_neuroectoderm&epidermal	0.910297489
GWAS&H3K27ac&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.910271761
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&H3K36me3&placode&neural_crest	0.91022275
GWAS&H3K4me2&H3K4me3&epidermal&placode&neural_crest	0.910183597
GWAS&H3K27me3&H3K4me2&H3K4me3	0.910175077
GWAS&H3K4me2&H3K36me3&neural_crest	0.910123732
GWAS&H3K27me3&H3K4me1&H3K4me3&non_neuroectoderm&neural_crest	0.910116348
GWAS&H3K4me1&H3K4me2&H3K4me3&neural_crest	0.909991953
GWAS&H3K27ac&H3K27me3&H3K4me3&epidermal&placode	0.909962937
GWAS&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.909949897
GWAS&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode	0.909922152
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.909793277
GWAS&H3K27ac&H3K27me3&epidermal&placode&neural_crest	0.909768633
GWAS&H3K27ac&H3K27me3&H3K36me3&neural_crest	0.90976176
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K36me3&placode&neural_crest	0.909753027
GWAS&H3K27me3&H3K4me3&non_neuroectoderm	0.909721981
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me2&neural_crest	0.909644286
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&non_neuroectoderm&epidermal	0.909599133
GWAS&H3K4me2&H3K4me3&epidermal&placode	0.909591769
GWAS&H3K27me3&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.909521342
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm	0.90945088
GWAS&H3K27ac&H3K27me3&H3K4me3&H3K36me3&non_neuroectoderm&placode&neural_crest	0.909435623
GWAS&H3K27ac&H3K4me3&H3K36me3&non_neuroectoderm&epidermal&placode&neural_crest	0.909430351
GWAS&H3K36me3&non_neuroectoderm&placode&neural_crest	0.909402567
GWAS&H3K27me3&H3K4me2&H3K4me3&epidermal&placode	0.909359253
GWAS&H3K4me1&H3K4me2&H3K4me3&H3K36me3&placode&neural_crest	0.909323399
GWAS&H3K27ac&H3K4me1&H3K4me3&non_neuroectoderm&epidermal	0.909301592
GWAS&H3K27ac&H3K36me3&epidermal&neural_crest	0.909300761
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K36me3&neural_crest	0.90928797
GWAS&H3K27ac&H3K4me1&H3K4me2&H3K4me3&epidermal&placode&neural_crest	0.909180752
GWAS&H3K27ac&H3K4me3&H3K36me3&epidermal&neural_crest	0.909152846
GWAS&H3K27ac&epidermal&placode&neural_crest	0.909065568
GWAS&H3K27ac&H3K4me2&H3K36me3&placode&neural_crest	0.909039032
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K4me3&placode&neural_crest	0.909012498
GWAS&H3K36me3&epidermal&neural_crest	0.90895219
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&non_neuroectoderm&epidermal	0.908938887
GWAS&H3K27ac&H3K4me3&H3K36me3&placode	0.908930121
GWAS&H3K27ac&H3K27me3&H3K4me3&H3K36me3&non_neuroectoderm&epidermal	0.908842223
GWAS&H3K27ac&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm&placode	0.908701922
GWAS&H3K27ac&H3K4me2&H3K4me3&placode	0.908695637
GWAS&H3K27ac&H3K4me2&H3K4me3&H3K36me3&non_neuroectoderm	0.908692796
GWAS&H3K27ac&H3K27me3&H3K4me3&epidermal&neural_crest	0.908613318
GWAS&H3K4me1&H3K4me2&H3K4me3&H3K36me3&neural_crest	0.908549424
GWAS&H3K27ac&H3K4me1&H3K4me3&epidermal&neural_crest	0.908475619
GWAS&H3K27ac&H3K27me3&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&epidermal	0.908428658
GWAS&H3K27me3&H3K4me2&H3K4me3&non_neuroectoderm&epidermal	0.908403171
GWAS&H3K4me3&epidermal&placode&neural_crest	0.908367134
GWAS&H3K27ac&H3K27me3&H3K4me3&epidermal	0.908326254
GWAS&H3K27ac&H3K27me3&H3K4me2&H3K36me3&epidermal	0.908308438
GWAS&H3K27me3&H3K4me1&H3K4me3&H3K36me3&non_neuroectoderm&neural_crest	0.908270474
GWAS&H3K27me3&H3K4me1&H3K4me2&H3K4me3&H3K36me3&epidermal&placode&neural_crest	0.908208035
GWAS&H3K27ac&H3K27me3&H3K4me1&epidermal&placode&neural_crest	0.90814254
GWAS&H3K4me2&H3K36me3&non_neuroectoderm&placode&neural_crest	0.908127894
